train_loss,train_acc,test_loss,test_acc,epoch
1.9305789521399965,0.465330547112462,1.5273844450712204,0.698046875,0
1.3125930910414838,0.7197948328267478,1.1292323507368565,0.750390625,1
1.008289969981985,0.7879939209726443,0.936408519744873,0.785546875,2
0.8784887854089128,0.7966375379939209,0.8335950989276171,0.803125,3
0.7737967092940148,0.8223784194528876,0.7674882654100657,0.809765625,4
0.7130414463104086,0.8180091185410334,0.725506991147995,0.80234375,5
0.6481263225382947,0.8401405775075989,0.6905440371483564,0.812109375,6
0.5979733023237674,0.8555281155015197,0.6328213345259428,0.830078125,7
0.5592294512911046,0.853533434650456,0.6285052802413702,0.822265625,8
0.5330557385657696,0.8615121580547113,0.6051723631098866,0.826171875,9
