train_loss,train_acc,test_loss,test_acc,epoch
1.2883035236216607,0.6689779635258358,0.5932229594327509,0.859375,0
0.5354341534858055,0.8809840425531915,0.3904518240597099,0.905078125,1
0.3940648826512885,0.8887727963525837,0.321792604168877,0.922265625,2
0.3172209602087102,0.9093844984802432,0.2950482653686777,0.91953125,3
0.27548903797535185,0.9211626139817628,0.2839431867469102,0.921875,4
0.23494439904994152,0.9351253799392096,0.2664899816736579,0.92734375,5
0.21239143324659226,0.9447188449848024,0.270523271872662,0.91875,6
0.18637114129167923,0.9560220364741642,0.26199865038506687,0.92578125,7
0.17175852539057426,0.956781914893617,0.2547441608621739,0.928125,8
0.15183123486473205,0.9680851063829787,0.24831918865675107,0.929296875,9
