train_loss,train_acc,test_loss,test_acc,epoch
1.8897742717824084,0.4724544072948328,1.4284075200557709,0.77421875,0
1.250333493060254,0.7331876899696049,1.0397928431630135,0.811328125,1
0.9511660312084441,0.787329027355623,0.8674108646810055,0.823828125,2
0.816824106459922,0.8046162613981763,0.7539287991821766,0.823828125,3
0.7335662993978946,0.817154255319149,0.6982398610562086,0.83046875,4
0.6488978247693244,0.8393806990881458,0.643277844414115,0.834375,5
0.6165545278407157,0.8366261398176291,0.6093340460211039,0.82578125,6
0.5514081551673564,0.8658814589665653,0.600192510522902,0.831640625,7
0.5194692009306968,0.8658814589665653,0.5765712531283498,0.82890625,8
0.49365041484224037,0.8731952887537994,0.5629116222262383,0.8296875,9
