train_loss,train_acc,test_loss,test_acc,epoch
1.1242001709785867,0.6916793313069909,0.5672503649257123,0.8265625,0
0.4846622997775991,0.8569528875379939,0.4316528976196423,0.8609375,1
0.37004372319008444,0.8905775075987842,0.3699444617377594,0.885546875,2
0.30373454442683684,0.92334726443769,0.3375827226554975,0.889453125,3
0.25865896886333506,0.9365501519756839,0.32488593767629936,0.893359375,4
0.22114650873427696,0.9463335866261398,0.31296590028796345,0.893359375,5
0.19201517216068634,0.9640007598784195,0.3073024477926083,0.898046875,6
0.16863670723235352,0.9694148936170213,0.30205329606542364,0.891015625,7
0.14979672852031728,0.976063829787234,0.29034651126130484,0.89921875,8
0.13698272858845426,0.9758738601823709,0.28903034748509526,0.89921875,9
